,Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
135,FDT28,OUT019,449.415
136,FDQ22,OUT018,878.856
137,FDR60,OUT049,681.7792
138,FDC50,OUT019,469.389
139,FDV24,OUT013,1989.4104
140,DRF48,OUT010,379.506
141,FDQ47,OUT046,607.2096
142,DRN36,OUT049,886.8456
143,NCY06,OUT035,2681.8424
144,FDE52,OUT035,2554.0088
145,NCB54,OUT045,1761.7068
146,NCF31,OUT035,1973.4312
147,FDJ08,OUT027,5294.4416
148,NCC07,OUT017,1105.228
149,NCD19,OUT027,631.8442
150,FDL46,OUT049,3199.8348
151,FDM20,OUT045,4580.704
152,NCI06,OUT010,549.285
153,DRM11,OUT035,5668.6212
154,NCH07,OUT018,962.7468
155,FDS23,OUT013,1670.4922
156,FDO49,OUT018,591.2304
157,FDS35,OUT049,790.9704
158,DRK39,OUT045,1090.5804
159,DRI39,OUT049,868.869
160,FDV04,OUT017,1571.288
161,NCN14,OUT035,1837.608
162,FDH08,OUT013,6201.927
163,FDS20,OUT046,2554.0088
164,FDV40,OUT049,1165.15
165,FDZ48,OUT010,223.7088
166,FDS24,OUT027,2180.495
167,FDK44,OUT049,1395.5168
168,FDS48,OUT045,3384.2614
169,FDK26,OUT010,187.0898
170,FDD23,OUT045,1641.8628
171,NCH54,OUT017,5522.811
172,NCP14,OUT010,105.8622
173,FDM60,OUT010,83.8908
174,FDV24,OUT017,1797.66
175,FDH08,OUT018,3835.008
176,FDS12,OUT027,2127.8968
177,FDR39,OUT027,4119.3046
178,FDP12,OUT027,1120.5414
179,DRF60,OUT027,4592.0226
180,FDC09,OUT035,922.7988
181,FDF50,OUT018,1496.0526
182,FDG28,OUT035,6579.4356
183,NCE19,OUT017,282.965
184,NCM53,OUT010,595.2252
185,NCN18,OUT049,529.311
186,FDF32,OUT035,1977.426
187,FDF11,OUT013,969.4048
188,DRI59,OUT049,452.744
189,NCG54,OUT035,2886.243
190,FDM44,OUT046,2976.126
191,FDT57,OUT018,1705.7796
192,FDV24,OUT046,1989.4104
193,FDI50,OUT019,884.1824
194,FDS09,OUT035,850.8924
195,NCC31,OUT027,3243.7776
196,FDQ07,OUT019,228.3694
197,FDC22,OUT017,1549.9824
198,FDZ56,OUT046,2852.2872
199,FDZ40,OUT019,161.7894
200,FDS46,OUT027,2844.2976
201,DRD24,OUT045,427.4436
202,FDV45,OUT017,3554.7062
203,FDL26,OUT045,4094.67
204,FDA56,OUT018,2277.036
205,FDN27,OUT046,820.2656
206,FDM20,OUT049,7105.4176
207,FDO16,OUT017,2579.975
208,FDL03,OUT035,2587.9646
209,FDE58,OUT046,2356.932
210,FDI02,OUT027,4124.631
211,NCC55,OUT019,83.8908
212,FDR03,OUT018,4500.808
213,FDB14,OUT017,1304.968
214,FDR45,OUT013,1245.046
215,NCN07,OUT017,2909.546
216,FDM51,OUT019,591.2304
217,FDT52,OUT027,7366.011720000013
218,FDL26,OUT046,3894.93
219,NCZ42,OUT046,2403.538
220,DRI47,OUT019,447.4176
221,FDW40,OUT013,2782.3782
222,FDN34,OUT046,4653.2762
223,FDS01,OUT035,1464.76
224,NCG55,OUT045,759.012
225,FDC11,OUT035,796.9626
226,FDX35,OUT018,1496.0526
227,NCB06,OUT046,3506.7686
228,FDR09,OUT019,255.6672
229,FDC53,OUT017,1358.232
230,FDY45,OUT013,5061.4116
231,FDA22,OUT010,166.45
232,FDE02,OUT035,3282.394
233,FDW21,OUT045,978.726
234,FDV34,OUT046,1478.076
235,FDS59,OUT049,2373.577
236,NCW17,OUT017,2649.884
237,NCK54,OUT046,1066.6116
238,FDG17,OUT019,689.103
239,FDG35,OUT017,3523.4136
240,FDD08,OUT010,83.8908
241,NCO07,OUT017,5426.27
242,FDJ10,OUT010,260.9936
243,FDW36,OUT017,2388.8904
244,FDW21,OUT010,102.5332
245,FDY19,OUT017,715.0692
246,DRE03,OUT013,905.488
247,NCC55,OUT049,1078.596
248,FDH52,OUT010,126.502
249,FDO09,OUT017,6574.775
250,FDU43,OUT045,5635.3312
251,FDX09,OUT010,585.2382
252,FDH40,OUT019,253.6698
253,FDW58,OUT017,1105.228
254,FDC47,OUT017,5206.556
255,NCR41,OUT035,1438.128
256,DRG49,OUT035,2695.1584
257,FDC52,OUT027,1071.938
258,FDY13,OUT046,1454.773
259,FDY35,OUT013,167.7816
260,FDI35,OUT017,2181.1608
261,NCU18,OUT049,2681.8424
262,FDY33,OUT018,4436.8912
263,FDC15,OUT027,4345.0108
264,FDU01,OUT049,4843.695
265,NCU42,OUT046,4211.185
266,NCV29,OUT018,3199.8348
267,NCY30,OUT017,2245.0776
268,FDQ46,OUT049,1215.7508
269,FDG58,OUT027,3285.723
270,FDK33,OUT017,5426.27
271,NCD07,OUT045,579.246
272,NCX29,OUT027,4026.7584
273,NCT42,OUT013,2354.2688
274,DRN59,OUT035,679.116
275,FDI44,OUT035,1090.5804
276,FDA45,OUT049,4673.916
277,FDP31,OUT045,639.168
278,FDY01,OUT046,2303.668
279,FDT09,OUT018,524.6504
280,DRH03,OUT027,2716.464
281,FDA36,OUT018,1911.5118
282,NCF31,OUT017,1853.5872
283,FDG14,OUT049,1973.4312
284,FDG28,OUT027,7366.011720000013
285,FDU14,OUT049,4993.5
286,FDY47,OUT019,254.3356
287,FDI56,OUT049,547.2876
288,DRD01,OUT013,1030.6584
289,FDM22,OUT046,1597.92
290,FDH33,OUT013,703.0848
291,DRZ24,OUT013,695.0952
292,NCQ38,OUT046,1629.8784
293,FDO16,OUT027,1331.6
294,FDU07,OUT027,3990.8052
295,NCB07,OUT013,2553.343
296,FDU48,OUT045,988.0472
297,NCM43,OUT045,2120.573
298,FDR31,OUT010,296.9468
299,DRK49,OUT018,123.8388
300,NCI30,OUT010,245.6802
301,DRD60,OUT017,1999.3974
302,NCG19,OUT046,1874.8928
303,FDH12,OUT035,2556.672
304,FDM32,OUT035,2313.655
305,FDM27,OUT035,3427.5384
306,NCU53,OUT027,2302.3364
307,NCQ18,OUT046,1031.99
308,FDS10,OUT013,2336.958
309,FDB33,OUT027,6021.4952
310,FDI12,OUT013,1494.0552
311,NCW42,OUT013,5321.0736
312,NCC06,OUT018,3560.6984
313,FDW02,OUT017,2360.9268
314,NCD43,OUT017,210.3928
315,FDM57,OUT018,649.8208
316,FDA58,OUT017,942.7728
317,FDK56,OUT046,3817.0314
318,FDP52,OUT045,2636.568
319,FDW20,OUT018,3150.5656
320,FDS52,OUT049,1315.6208
321,NCT29,OUT018,1821.6288
322,NCL54,OUT013,2149.2024
323,FDC05,OUT045,1058.622
324,FDF34,OUT035,4727.18
325,FDP03,OUT027,3020.0688
326,FDD32,OUT010,243.6828
327,FDZ10,OUT045,1966.7732
328,FDZ40,OUT035,679.116
329,FDD51,OUT018,564.5984
330,NCY30,OUT019,153.134
331,FDP58,OUT017,5068.7354
332,FDV49,OUT017,3171.8712
333,FDY24,OUT019,147.8076
334,NCO55,OUT017,2358.2636
335,FDR13,OUT017,810.9444
336,FDS51,OUT017,829.5868
337,FDP26,OUT045,1278.336
338,NCB54,OUT027,3410.2276
339,FDF32,OUT017,3350.3056
340,FDN31,OUT018,3592.6568
341,DRM48,OUT017,1193.1136
342,FDN20,OUT049,2358.2636
343,DRL01,OUT046,5375.0034
344,FDV56,OUT049,922.7988
345,DRH13,OUT027,2876.256
346,FDA03,OUT017,3645.255
347,FDF47,OUT027,3297.7074
348,FDX32,OUT046,2929.52
349,FDX57,OUT049,2799.689
350,NCA30,OUT045,5432.928
351,FDO49,OUT013,583.2408
352,FDL04,OUT019,127.1678
353,DRM48,OUT035,426.112
354,FDR16,OUT013,4739.8302
355,NCC19,OUT018,4677.245
356,NCE42,OUT045,3271.7412
357,FDY24,OUT017,873.5296
358,FDH19,OUT049,521.3214
359,FDJ46,OUT013,1038.648
360,FDN45,OUT010,529.311
361,FDY08,OUT035,1987.413
362,FDZ37,OUT035,1081.925
363,NCT30,OUT045,886.8456
364,DRY23,OUT018,531.3084
365,NCZ30,OUT018,3091.9752
366,FDC44,OUT018,1779.0176
367,FDB45,OUT035,2299.6732
368,FDY04,OUT013,3690.5294
369,FDM27,OUT046,1471.418
370,FDZ43,OUT017,3645.255
371,FDT39,OUT019,150.4708
372,NCC06,OUT019,474.0496
373,FDL15,OUT027,7366.011720000013
374,FDL57,OUT017,5060.08
375,FDU08,OUT046,1091.2462
376,FDK40,OUT017,3924.891
377,FDQ12,OUT010,394.1536
378,FDS48,OUT017,2858.9452
379,FDP09,OUT045,4460.1942
380,FDW21,OUT049,412.796
381,FDY25,OUT035,4460.86
382,DRE13,OUT017,872.198
383,FDV43,OUT019,83.8908
384,FDD22,OUT045,1278.336
385,FDM46,OUT019,469.389
386,NCO30,OUT010,719.064
387,FDM25,OUT046,2636.568
388,NCN41,OUT049,2586.633
389,FDU24,OUT045,2079.9592
390,FDZ50,OUT046,4474.176
391,FDP45,OUT013,1659.1736
392,NCM54,OUT045,759.012
393,FDW10,OUT019,176.437
394,FDP20,OUT017,1265.02
395,FDK32,OUT046,3795.06
396,FDN52,OUT049,808.947
397,FDM58,OUT045,1398.18
398,FDZ46,OUT027,1310.2944
399,NCA18,OUT018,1856.2504
400,FDD35,OUT046,2530.04
401,NCK31,OUT035,666.4658
402,FDI40,OUT027,5093.37
403,FDT50,OUT019,199.74
404,NCT06,OUT046,2947.4966
405,FDT31,OUT035,3014.7424
406,FDT45,OUT049,1090.5804
407,FDT13,OUT045,5069.4012
408,FDO50,OUT045,1707.777
409,NCU18,OUT010,284.9624
410,NCR54,OUT049,1970.768
411,NCO18,OUT018,3199.8348
412,FDU09,OUT045,1431.47
413,FDT13,OUT018,3984.1472
414,FDE09,OUT046,958.752
415,NCK53,OUT019,102.5332
416,FDG45,OUT049,1720.4272
417,DRH15,OUT035,679.116
418,FDO21,OUT019,213.056
419,FDD14,OUT027,5901.6512
420,FDC09,OUT046,1031.99
421,FDH45,OUT027,1293.6494
422,FDV32,OUT046,968.739
423,FDG12,OUT035,2432.8332
424,FDS32,OUT013,1264.3542
425,NCL55,OUT018,4380.2982
426,DRE01,OUT035,5331.7264
427,DRE15,OUT049,1366.2216
428,NCL42,OUT045,5635.3312
429,FDP31,OUT013,639.168
430,FDN33,OUT018,1605.9096
431,FDZ59,OUT046,3691.1952
432,FDE45,OUT010,549.285
433,FDJ07,OUT013,1906.8512
434,FDQ45,OUT018,2647.2208
435,FDM33,OUT027,1547.3192
436,FDO15,OUT010,221.7114
437,FDM46,OUT013,2006.7212
438,FDR03,OUT045,1667.1632
439,FDY49,OUT018,2652.5472
440,FDQ60,OUT045,3231.1274
441,FDW10,OUT049,4653.2762
442,FDO51,OUT049,615.1992
443,FDJ40,OUT018,1428.141
444,FDS20,OUT018,3448.844
445,FDU45,OUT013,1230.3984
446,FDV02,OUT035,2187.153
447,FDN09,OUT046,3430.2016
448,NCM55,OUT027,4560.73
449,FDN23,OUT018,2354.2688
450,FDY31,OUT010,296.9468
451,FDW03,OUT010,215.7192
452,FDD14,OUT046,1844.266
453,FDV23,OUT017,871.5322
454,DRI03,OUT045,4250.4672
455,FDN13,OUT035,1905.5196
456,FDF45,OUT027,2266.3832
457,FDU46,OUT035,802.9548
458,FDB57,OUT049,1095.241
459,FDV12,OUT049,2572.6512
460,FDQ58,OUT013,1378.206
461,NCA18,OUT017,1621.8888
462,FDH52,OUT049,916.1408
463,FDM24,OUT018,644.4944
464,NCP43,OUT027,6157.3184
465,NCO18,OUT019,153.134
466,FDM32,OUT017,1943.4702
467,NCL07,OUT017,270.3148
468,FDK03,OUT013,1537.998
469,FDP59,OUT017,1135.189
470,FDQ24,OUT049,3060.0168
471,FDQ16,OUT018,1239.7196
472,FDU44,OUT013,3137.2496
473,FDH28,OUT010,83.8908
474,FDV28,OUT019,135.8232
475,FDM22,OUT045,1118.544
476,FDR56,OUT046,2906.217
477,FDV39,OUT049,4761.8016
478,FDU37,OUT019,399.48
479,FDQ11,OUT010,1288.323
480,FDX02,OUT045,4950.8888
481,NCS42,OUT018,1094.5752
482,FDY57,OUT027,2516.724
483,FDB21,OUT049,3653.9104
484,FDE28,OUT017,527.3136
485,FDQ55,OUT017,2908.2144
486,FDA48,OUT049,5099.3622
487,FDZ19,OUT045,2976.7918
488,NCC43,OUT045,2103.928
489,NCV18,OUT046,772.328
490,NCA42,OUT018,2716.464
491,FDY45,OUT046,4637.9628
492,NCC30,OUT045,4211.185
493,FDM57,OUT013,610.5386
494,FDL09,OUT010,169.1132
495,FDB09,OUT027,2463.46
496,FDT44,OUT035,1779.0176
497,NCT06,OUT027,3675.216
498,FDX26,OUT049,2876.256
499,FDK32,OUT013,2720.4588
500,DRA12,OUT046,659.142
501,FDO46,OUT010,621.1914
502,FDE52,OUT013,1133.8574
503,NCH42,OUT045,4580.704
504,FDV08,OUT035,587.2356
505,FDB47,OUT018,1181.795
506,FDC28,OUT010,426.112
507,FDD22,OUT046,910.8144
508,FDS07,OUT027,4138.6128
509,DRI13,OUT045,6114.7072
510,FDG32,OUT018,4729.8432
511,FDU14,OUT017,4993.5
512,FDD28,OUT019,400.8116
513,NCP41,OUT017,1657.842
514,FDS08,OUT049,1230.3984
515,FDX47,OUT045,886.8456
516,FDC53,OUT019,101.2016
517,FDQ19,OUT035,5331.7264
518,FDL14,OUT045,4402.2696
519,FDM33,OUT019,916.1408
520,FDA51,OUT045,1821.6288
521,FDZ27,OUT018,774.9912
522,FDT04,OUT046,419.454
523,DRC13,OUT049,1847.595
524,FDR16,OUT027,1547.3192
525,FDQ03,OUT027,7366.011720000012
526,FDE38,OUT035,1188.453
527,DRH23,OUT027,2597.2858
528,FDT11,OUT019,759.012
529,FDD09,OUT035,3428.2042
530,FDR40,OUT045,1651.184
531,FDX07,OUT017,2065.3116
532,FDR07,OUT035,2220.443
533,FDA51,OUT017,2390.8878
534,FDT59,OUT019,516.6608
535,FDF20,OUT017,2332.9632
536,FDR13,OUT045,1281.665
537,FDY26,OUT049,7366.011720000013
538,FDW04,OUT017,1761.7068
539,FDK52,OUT017,6183.9504
540,FDN60,OUT049,3739.1328
541,FDM09,OUT019,159.1262
542,FDP46,OUT049,1845.5976
543,FDB50,OUT019,503.3448
544,NCQ29,OUT049,3418.883
545,FDP16,OUT027,7366.011720000013
546,FDX33,OUT018,2716.464
547,FDP07,OUT010,585.2382
548,FDN22,OUT046,3271.7412
549,FDF39,OUT049,1896.1984
550,FDS21,OUT017,539.298
551,NCM42,OUT013,1230.3984
552,FDK50,OUT019,153.134
553,DRF13,OUT027,3207.8244
554,FDH35,OUT018,513.3318
555,FDP60,OUT018,1239.7196
556,DRJ49,OUT027,1565.9616
557,NCT42,OUT019,296.9468
558,FDE38,OUT049,1188.453
559,FDI04,OUT049,3757.1094
560,NCH54,OUT045,1104.5622
561,FDT56,OUT049,495.3552
562,DRD15,OUT018,2241.0828
563,FDV58,OUT013,1549.9824
564,FDP21,OUT049,3755.112
565,FDH05,OUT013,4633.968
566,FDR10,OUT027,3797.7232
567,NCP06,OUT045,604.5464
568,FDF33,OUT049,3020.0688
569,DRK37,OUT013,3861.64
570,DRH49,OUT045,1116.5466
571,FDT58,OUT013,2106.5912
572,FDD41,OUT018,982.7208
573,FDP40,OUT018,1488.7288
574,FDM51,OUT027,1948.1308
575,FDO45,OUT010,89.883
576,FDW33,OUT010,105.8622
577,FDY24,OUT045,873.5296
578,FDB10,OUT010,468.7232
579,FDM40,OUT035,1685.8056
580,NCI06,OUT017,3775.086
581,FDW12,OUT019,145.8102
582,FDX48,OUT027,3285.723
583,NCW05,OUT027,4250.4672
584,FDX27,OUT017,1641.197
585,DRM37,OUT045,1767.699
586,FDA38,OUT045,2900.2248
587,FDR36,OUT046,878.856
588,FDZ45,OUT046,1977.426
589,FDG05,OUT017,2025.3636
590,FDK28,OUT013,5410.9566
591,FDV47,OUT045,2163.85
592,FDN21,OUT045,3568.0222
593,FDP20,OUT027,5404.9644
594,FDI35,OUT045,4211.185
595,DRY23,OUT013,490.6946
596,FDA56,OUT017,1231.73
597,FDB09,OUT013,1369.5506
598,NCO26,OUT027,4138.6128
599,FDQ49,OUT018,2556.672
600,FDI52,OUT027,1565.9616
601,FDZ44,OUT027,2303.668
602,FDZ09,OUT018,1197.7742
603,FDY03,OUT049,2519.3872
604,NCG42,OUT017,1038.648
605,DRI13,OUT027,4976.855
606,FDQ32,OUT013,1981.4208
607,FDW16,OUT035,1258.362
608,FDU27,OUT046,992.7078
609,FDR28,OUT010,165.7842
610,FDQ49,OUT010,151.1366
611,FDS37,OUT046,2618.5914
612,FDW26,OUT018,4194.54
613,FDX12,OUT018,3835.008
614,NCP06,OUT013,2569.3222
615,FDW45,OUT010,296.9468
616,NCN30,OUT049,1237.7222
617,FDN24,OUT049,882.8508
618,NCL41,OUT027,970.7364
619,FDR02,OUT019,331.5684
620,FDD09,OUT010,352.874
621,FDS33,OUT010,88.5514
622,FDU22,OUT045,1267.0174
623,FDI53,OUT013,1772.3596
624,DRH01,OUT049,1225.7378
625,FDX32,OUT013,1733.7432
626,NCP30,OUT018,527.9794
627,FDB60,OUT045,3142.576
628,FDB14,OUT049,1304.968
629,NCP02,OUT035,592.562
630,FDJ10,OUT017,1264.3542
631,FDG34,OUT046,1547.3192
632,NCB18,OUT017,1102.5648
633,FDM16,OUT049,1324.2762
634,FDW25,OUT018,2247.075
635,FDB35,OUT010,91.2146
636,DRN11,OUT013,2290.352
637,FDF41,OUT019,256.9988
638,FDH16,OUT045,1691.132
639,NCQ50,OUT018,2117.244
640,DRH23,OUT018,615.1992
641,DRJ37,OUT013,1057.9562
642,DRJ24,OUT027,7033.5112
643,FDY16,OUT035,3831.0132
644,FDQ27,OUT045,2804.3496
645,FDZ33,OUT045,958.752
646,FDF29,OUT045,2782.3782
647,FDA08,OUT049,1315.6208
648,FDG31,OUT046,639.168
649,FDE34,OUT019,176.437
650,NCR30,OUT027,2450.144
651,FDV33,OUT035,2061.3168
652,DRZ24,OUT018,1635.8706
653,NCL54,OUT035,2149.2024
654,FDR12,OUT049,1911.5118
655,NCC54,OUT046,4579.3724
656,DRN59,OUT013,591.2304
657,FDX50,OUT019,120.5098
658,FDV31,OUT027,7296.5022
659,NCA29,OUT027,3621.2862
660,FDW60,OUT049,2999.429
661,FDX08,OUT017,1810.976
662,DRD49,OUT013,3418.883
663,FDD33,OUT046,3950.1914
664,FDW35,OUT013,167.7816
665,FDJ36,OUT017,2050.664
666,FDV51,OUT035,2631.2416
667,FDW36,OUT046,2117.244
668,FDH35,OUT046,1151.1682
669,NCS30,OUT027,3704.5112
670,FDN49,OUT017,585.904
671,FDL08,OUT018,3848.324
672,FDI09,OUT013,5033.448
673,FDP19,OUT018,1733.7432
674,FDU21,OUT010,83.8908
675,NCP41,OUT045,1657.842
676,FDY10,OUT013,1717.764
677,FDP12,OUT018,372.848
678,NCN26,OUT049,2073.3012
679,FDK44,OUT013,1569.9564
680,FDC28,OUT049,1584.604
681,FDJ41,OUT027,6574.775
682,NCT29,OUT035,2586.633
683,NCH42,OUT019,689.103
684,FDU60,OUT018,513.3318
685,FDS02,OUT045,4364.319
686,FDC51,OUT046,4264.449
687,FDU03,OUT013,3872.9586
688,FDX39,OUT045,4154.592
689,NCY05,OUT010,83.8908
690,NCL06,OUT027,4504.8028
691,FDD32,OUT035,1090.5804
692,NCN41,OUT045,2127.8968
693,NCX53,OUT049,4020.7662
694,FDU57,OUT019,294.2836
695,FDQ23,OUT046,1547.985
696,FDQ52,OUT045,4221.8378
697,FDC14,OUT045,209.727
698,FDY09,OUT035,2133.2232
699,FDQ28,OUT045,1390.1904
700,FDV25,OUT046,6291.81
701,FDJ07,OUT035,1747.725
702,DRB25,OUT049,857.5504
703,FDK52,OUT019,430.1068
704,FDY52,OUT027,631.8442
705,FDB28,OUT046,3582.004
706,FDT36,OUT035,611.2044
707,FDV25,OUT017,5305.0944
708,NCN07,OUT027,1565.9616
709,FDC57,OUT017,6641.355
710,FDQ03,OUT018,2323.642
711,FDU23,OUT017,3467.4864
712,NCX41,OUT035,3811.0392
713,NCD06,OUT035,838.908
714,FDW08,OUT045,1444.786
715,NCU29,OUT017,2450.144
716,NCE06,OUT013,2111.9176
717,FDV52,OUT010,455.4072
718,FDB02,OUT017,3033.3848
719,NCR18,OUT045,707.0796
720,FDK16,OUT049,1544.656
721,NCQ29,OUT010,520.6556
722,FDZ01,OUT019,203.7348
723,FDW27,OUT035,1551.314
724,FDD17,OUT018,3435.528
725,FDW39,OUT013,1235.059
726,DRH59,OUT045,988.713
727,FDS52,OUT013,1315.6208
728,FDU40,OUT027,7366.011720000013
729,NCF54,OUT013,1587.933
730,FDH46,OUT045,1537.998
731,NCP14,OUT049,2966.139
732,FDH50,OUT049,2492.7552
733,DRF15,OUT010,308.9312
734,FDV27,OUT027,2180.495
735,NCJ06,OUT049,1332.9316
736,FDN02,OUT018,4026.7584
737,FDQ51,OUT049,452.744
738,FDQ07,OUT017,4789.7652
739,FDS45,OUT049,412.796
740,NCJ06,OUT045,759.012
741,FDD36,OUT035,1274.3412
742,FDY25,OUT045,3331.6632
743,FDU52,OUT046,3515.424
744,DRK47,OUT017,3455.502
745,NCL30,OUT017,2950.1598
746,FDN22,OUT035,5438.9202
747,NCF30,OUT027,1565.9616
748,FDK03,OUT035,5153.292
749,FDT45,OUT017,1118.544
750,NCC54,OUT027,3297.7074
751,FDP08,OUT018,982.055
752,FDU44,OUT046,4793.76
753,DRG39,OUT035,491.3604
754,FDU32,OUT049,1462.0968
755,FDY27,OUT049,3582.004
756,NCP54,OUT013,3952.1888
757,NCZ41,OUT049,1752.3856
758,DRL49,OUT013,2013.3792
759,FDI05,OUT018,1198.44
760,FDY56,OUT045,6301.1312
761,DRC13,OUT013,1596.5884
762,NCV29,OUT017,1810.976
763,FDR24,OUT049,1707.777
764,FDZ34,OUT018,4677.245
765,FDP37,OUT035,2441.4886
766,FDX08,OUT027,6157.3184
767,FDS57,OUT045,427.4436
768,NCG18,OUT049,1845.5976
769,FDK25,OUT018,1794.331
770,FDH53,OUT049,1883.5482
771,DRI59,OUT018,2702.4822
772,FDA52,OUT046,2988.1104
773,FDT20,OUT010,83.8908
774,FDE36,OUT019,491.3604
775,FDI24,OUT017,4234.488
776,FDB28,OUT018,1496.0526
777,FDV11,OUT017,1948.1308
778,FDP01,OUT046,1372.2138
779,FDD34,OUT027,5546.114
780,FDJ50,OUT027,1544.656
781,FDZ44,OUT013,958.752
782,DRO59,OUT035,2220.443
783,DRB48,OUT045,659.142
784,FDR21,OUT018,1277.0044
785,NCE42,OUT010,387.4956
786,FDO23,OUT046,1032.6558
787,NCE30,OUT018,4607.336
788,FDQ22,OUT035,270.3148
789,FDY01,OUT045,2133.2232
790,FDS08,OUT017,1230.3984
791,FDG28,OUT018,3675.216
792,FDQ51,OUT018,619.194
793,FDB05,OUT017,1506.0396
794,FDO56,OUT049,2073.3012
795,FDE02,OUT018,647.8234
796,FDN45,OUT017,1346.2476
797,FDS09,OUT013,1062.6168
